Album,Song
Float Back To You,Oh I Miss Her So
To Believe (Remixes),Wait For Now - Mary Lattimore Rework
Silver Ladders,Sometimes He's In My Dreams
Reworks,And She Came Home - Mary Lattimore Rework
Silver Ladders,Silver Ladders
Silver Ladders,Pine Trees
Collected Pieces: 2015-2020,"Mary, You Were Wrong"
Collected Pieces: 2015-2020,We Wave From Our Boats
Collected Pieces,Wawa by the Ocean
Collected Pieces,The Warm Shoulder
Dreaming of the Kelly Pool,Dreaming of the Kelly Pool
Silver Ladders,Don't Look
Always Almost Home,Armies Of The Dawn
At the Dam,The Quiet at Night
At the Dam,Jimmy V
Hundreds of Days,Baltic Birch
Hundreds of Days,Hello from the Edge of the Earth
Healing Is A Miracle,"Oh, Memory"
Undercurrent / Watershed,Undercurrent / Watershed
Soft Power,Get Some Rest
